category,ask
物流快递,到今天11号都没送来我搞不懂他当时当日达是摆设后来客服说11号17:00之前送来到现在也没来 然后电话也没给我沟通，就说今天送来我都没收到，他打电话就说我要求买数据线说好的当日达、17点前送到，至今都没收到 9月10号买了一根数据线，当日达21点之前送到。
数码3C,打不开机还能莫名其妙扣费，不能用了，还能莫名其妙扣费 苹果手机摔坏了，苹果手机摔坏了，摔成两半
旅游出行,我要求退还差价120飞猪 刚买的机票，买的时候显示又要涨价的趋势于是我就买了票，结果没出几天，直接降价一百多，联系平台客服也一直在踢皮球，明明票价都不一样。
物流快递,我退货放错了格口，让她们帮忙找回我的物品，丰巢客服人员不作为 早上我就给丰巢客服打电话且也在线上找他们沟通了，我很着急，一整天了也没给我信息和回电，我的物品到现在也没找回来
汽车,享界汽车S9T提车三月空调坏两次维修后仍出问题 2026年6月6日在咸阳鸿蒙用户中心 提s9t 一台。 空调一直不制冷，无奈期间在6月19日去鸿蒙用户中心航天城店检查发现了是因为冷煤泄漏，后更换了空调管道，在7月13号左右维修完成。期间在开车时候偶尔会觉得空调不冷，但有时候又挺制冷，在9月17号跑长途回郑州的路上又发现不制冷了，去郑州天伦路上的维修点去查，排查出来...
房产家装,使用了7个月，色差现象，掉皮，金可儿宣传床架是自然纹理皮面没提涂层致掉皮有色差维权 在京东自营买的床架和床垫，出现了床靠背起皮，他们在宣传页面写了自然纹理皮面，并没有告知有涂层，售后人员回复涂层是行业出厂标配，并且这个涂层不会覆盖纹理，类似于木质清漆，但实际下 掉皮的那块和没有掉皮的有明显色差，很明显这个涂层是覆盖了皮的原有颜色和纹理，属于宣传误导，并且...
共享出行,青桔单车已还车一小时，但是过了一小时又提醒我没还车，还车我确确实实是已经还了，不到10分钟，却被催缴费用且这笔订单时长不显示 今天早上我骑车一共就骑了，要我时长费，车子一动不动一个小时？订单时长也不显示吃相太难看了吧，怎么回事啊，能不能尽快给我解决。还要我钱？
汽车,2捷安特买给娃的车10天坏4次要求退款遭商家拒 我于2026年8月24号在鸡东捷安特给我儿子买的新自行车，态度强硬，这是典型的质量问题我要求退货退款，10天之内坏了4回，商家拒绝退货退款。
母婴食品,"另外购买一款""蓝美美女性抑菌液Ⅰ型""消字号护理产品收费2000元，制造身体焦虑，三笔合计消费32396.43元，诱导本人消费：购买29998.43元产后修复套餐，到店后商户夸大产后修复效果。沙坪坝区蓝思带母婴护理服务部低价引流诱导高额消费，协商返还费用施压逼迫接受不平等方案 商家以398元低价体验卡引流到店，门店对外招牌为蓝丝带产后恢复（龙湖金沙天街店），工商主体为沙坪坝区蓝思带母婴护理服务部。该抑菌液仅..."
家居日用,9月5日货送到，TCL雷鸟电视质量问题差 2026年8月31日买了一台雷鸟电视。下单的时候显示是送装一体，我们以为送货的同时就会安装。但是师傅只是送货，通电10秒验了下机。撕掉保护膜开机后发现屏幕裂开了。考虑到家里的情况，电视机始终无法正常上墙，我们就将电视机打开安装了，没有让厂家来安装确实是自己疏忽。联系商户也花钱换了新屏，但是电视机并未...
影音娱乐,抖音旺家美墅，两倍溢价，要求退款要扣除全额百分之30的霸王条款 我于2026年9月10日在抖音平台购买了旺家美墅的酒店团购，抖音团购的机制是要选择日期才能付款，并且因为原价就3498.99元人民币，节假日加价6399.99元人民币，所以没有一分钟我就申请了退款，但是旺家美墅直接拒绝了退款，并且跟抖音联系说如果要退款要扣除百分之30的手续费，侵害了我作为一个正常消费者的权益，所以我的...
金融支付,本人办理立刷电签POS机，欺骗消费者，恐吓，全程未告知会收取68元网络通讯费，在我不知情情况下直接扣取68元。业务员廖经理（工号67018）上门装机，恶辱骂！当我和业务员协商退费，对方微信对我进行辱骂，使用侮辱性词汇，并且言语恐吓，恶意攻击本人经营的店铺，微信聊天记录完整留存。
母婴食品,... 此前使用均无异常，本人在该店铺累计购买9次商品，本次问题出现在最后一包产品。同品牌其他渠道购买的同款安睡裤，使用时也没有出现渗色掉色问题。十月结晶产妇专用安睡裤渗色染裤商家只退钱不愿赔我三条外裤 本人在淘宝十月结晶官方旗舰店（杭州十月结晶母婴用品有限公司）购买产妇专用安睡裤，产品固色工艺不合格，正常使用过程中发生色素渗漏，一共造成3条外裤大面积染色损坏。
家居日用,不履行三包义务拒绝退换 在2026年8月4日19:20:55时在山姆会员商店（长沙雨花店） 购买了货品DKN 由于是给家人购买，一直到2026年9月6日上午才想起这个事情，商品一直存放在购物袋中，一直忘记了这个事情，Y男凉感抗皱POLO.，没有任何破损损坏，在当日上午进行试穿，结果发现产品的选购码偏大，当日我就给门店进行了联系，一开始打了6到7个电话一...
本地生活,不加钱没人接单，只能加钱 加钱很快有人接单，又慢，不加钱没骑手接单，又恶心，不按规定时间办事，加钱的话还可以，欺骗消费者
物流快递,韵达快递把我快递有错地址，一直联系客服，没人管啊。 本人9月12日在抖音商城吉林通化购买演出服装，9月13号已经到达沈阳 显示当天我就能收到，结果第二天邮到山东潍坊，在那滞留一天，我15号演出，16号早上收到货，耽误我演出时间，赔偿我损失，我一直打电话沟通，韵达快递一直没有出面调节。
汽车,事后发现存在以下问题： 1. 门店不能提供机油明显消耗的照片证据；门店称上线检测机油状态正常，是因为加注清洗剂后总是无法上传异常照...诱导购买活塞清洗项目，门店工作人员判定车辆存在严重烧机油，要求全额返还费用 本人9月14日前往嵊州途虎官河南路工场店做常规保养，推销活塞清洗项目，1. 途虎工场店夸大车辆烧机油故障，并承诺做完该项目后，不会再出现严重烧机油问题，本人遂购买该项目。
电商平台,明显属于虚假发货，经多次核实仍未更新，商家随后录入物流单号，但物流信息一直没有真实揽收记录，2025年9月买的货没真实揽收虚假配送求退回款项罚商家致歉 本人于2025年9月14日在该店铺购买货物并完成付款。商家虚假发货已耽误我的正常使用计划，并损害消费者合法权益。现诉求全额退款，平台对该商家进行处罚，并由商家向我道歉。
通讯运营商,严重违反了国家的法律法规，该员工行为严重损害了本人的合法权益，中国移动在线客服虚假广告 本人向中国移动在线客服工号：HE33408询问系统里是否有（5G超值流量体验）这个业务，该客服在未认真核实的情况下告知本人系统中无该业务，且在本人多次确认下该客服仍然宣称无该业务，现在要求1.跟进处理虚假宣传的客服2.恢复本人被侵害的合法权益3.要求对本...
电商平台,付款距今10天，店铺一直未发货，商家违约投诉拼多多客服人员不作为 订单260***-114************，仅同意退还货款，沟通后商家称操作失误。 诉求：①全额返还费用；②按平台缺货/延迟发货规则给予违约赔付；③对商家超时不履约的违规行为进行处罚
家居日用,极米自动扣款无显著提醒拒退全额会员费 本人在极米APP开通极米影视会员，违反了《中华人民共和国消费者权益保护法》第八条、第九条规定和《网络交易监督管理办法》第十八条规定，每次扣费前没有显著、单独的扣费提醒，商家设置自动续费，支付宝连续自动扣款。扣费期间本人并未实际使用极米影视会员权益。发现自动续费后，我已经在支付宝解约，联系极米客服申请...
本地生活,美团外卖，众包 美团外卖的众包，接单之后，我到达商家，商家还没给做餐，大概我等待5分钟左右后，商家跟我说，顾客下错地址了，让我走行了，在这其中有一个订单5块多钱因为这一个订单浪费了我的时间，还没挣到钱，美团外卖也不给我一个答复，也不给我一个补偿，浪费了我的时间，客服给我回电话也没有一个满意的答复，电话我也有录音，...
医疗健康,实付总金额6470元，通过安心付分期付款，不按正式合同结算乱扣费 本人在博罗县罗阳星博蕾特恩美容店办理痘肌清颜卡美容套餐，现已全部结清，蕾特恩祛痘退卡纠纷，安心付仅作为支付工具。 因个人原因我申...双方签订正式《蕾特恩项目服务合同》，合同写明单次服务单价200.54元，本人实际接受服务一共5次，套餐附带两件实物护肤品，货品已拆封，实物部分我不要求退款。
物流快递,送完湖南衡阳，我打电话去问韵达客服人员，韵达速递快递发错地址客服说最优路线 我于2026年9月16号买的东西，9月18号显示离开揭阳，结果今天9月19号显示已发往云南，客服跟我说选的是最优路线，它怎么说出口的？这是我送别人的生日礼物，明明昨天就显示今天到达，搞得我还不知道啥时候能拿到货，嗯，这就是那客服说的最...最优路线，难道不是他们给我发错地址了吗？
影音娱乐,赶紧解决，抖音商城杀熟 天天在你们抖音商城买东西，什么都是都刷不出来不显示，现在把号黑了什么意思，12315那边也会回复，店大欺客
通讯运营商,违约金，在学校被推销校园卡，办卡时对方声明只有校园卡才能在学校登录学校的系统，还隐瞒了该手机号码2年校园宽带合约，中国移动网龄活动喜茶消费券不明码标价 本人于2024年10月8日，自动续期等关键条款，宽带没有安装，我现在要求解除合约，取消宽带并销户
游戏,皮肤申请了未成年退款，平台不予监管，既不赔既不退款 充值了这个游戏币以及购买。北京威龙互动科技未监管小孩充值游戏买皮肤，拒退未成年款 小孩在2026年期间8月份在北京龙威互动科技。
汽车,事后逃避 短版本：，反映问题瓜子二手车不负责任 瓜子二手车上门检测，工单记录检测前大灯完好。检测结束大灯损坏，4S维修报价1056元，京东养车估计几百元。平台客服多次承诺专人跟进，之后失联，线上客服反复推诿，拒绝赔付，距离检测已经五天了，没有结果。到底赔还是不赔，要有联系电话。 诉求：补偿维修费1056元。上传全套证据。检测后我一直没有动过车。 ...
物流快递,另外一个客人的快递发往了郑州，顺丰快递损坏快递物品拒绝赔付，理赔态度差 我于2026年5月18日在始祖鸟APP上申请衣物清洗后重庆顺丰小哥上门取件这笔订单是由重庆发往郑州，顺丰售后客服态度恶劣，由于小哥的失误把我的快递和另外一个客户的快递搞混了把我的快递误发成了同城快递，衣服退回我手上之后我去顺丰网点当面签收拆封快递与顺丰小哥当面确认物品是否有损伤然后发现衣服有明显划伤的...
旅游出行,半个月后联系本人说车辆损坏要求本人进行补偿，但该公司未按合同解除这笔订单，本人不予理会进行拉黑手段，7月10号到期正常归还车辆，拍小租恶意续签且非法扣钱 本人于4月10号在此公司签订为期三个月的车辆租赁合同，该公司以未解除合同为由，将此合同顺延至三个月后，七月份以电池过了期限从我支付宝账户扣除190元的电池逾期费用，八月份以未解除合同顺延...
数码3C,但购买后就开始频繁出现连接不上、断连等问题，已经完成使用不便，就每次都恢复出厂设置才能解决问题，被告知除了不能回复信息外其他基本正常使用，去找线下店（官方售后店），8月底的时候，此问题加重，...华为手表与iPhone频繁断连投诉｜设备固件检测无异常，跨平台兼容性故障仍未解决 本人于2026年4月29号线下购买了一台华为fit5手表，使用的是苹果手机，购买之前也询问过苹果手机使用会有什么影响？
共享出行,我的要求是退钱押金50元，已在规定时间内正常还车，交易完成后始终不退押金，提交还车申请平台也同意了，哈啰租车收费不合理 我于2026年9月3日在香格里拉独克宗古城租用电动车1小时
婚恋交友,"牵手不履行合同退费 本人于2025年2月8日购买牵手App红娘会员，付费11760元，合同约定期限内每月平均安排3-5位匹配对象。且本人明确要求""不吸烟""，平台多次推荐吸烟人员，未遵守约定条件。实际截至2025年4月27日申请暂停，约两个半月仅安排约3次见面，按合同最低标准应安排9人以上，履约不足1/3。 平台长期、系统性未按合同数量与条件提供服..."
电商平台,闲鱼小法庭误判，买p图未收货被驳回退款诉求 我在闲鱼下单P图照片，随后该商家让我加入微信后显示只能P图三次，其P图修改质量较差，最后协商退款，因我要对其进行差评，我未收到去水印的货情况下（证据中截图当中最后一张图是我的原图并非货品）被拒绝退款，闲鱼小法庭进行申诉的时候判决，我已收货拒不退还，闲鱼小法庭并不专业没有仔细查看我的证据
数码3C,维沃移动通信集团，手机主板虚焊 我于2024年9月8日购买vivox100s手机，但在2026年4月就开始出现黑屏死机重启的问题官方检测为主板问题，维修过后在同年八月份又出现此情况，手机购买不足两年，就出现问题，我的诉求是请vivo赔偿损失
房产家装,实际使用发现仅为普通定温花洒，不具备恒温阀芯功能。买的恒温花洒变普通款要求淘宝按消法退一赔三 1，宣传不实与欺诈： 本人于7月26日购买涉案货品时，商户明确宣传为“恒温花洒”。在我发起维权后，商家擅自将后台商品名称由“恒温”改为“定温”（有截图为证），试图掩盖欺诈事实。 利用服务流程设置障碍： 商家安排上门安装时，安装师傅收走了原包装和旧机。事后商家...
本地生活,美团预订酒店，页面未显著提示15分钟不可退，仅同意退一半，现在我要求全额退款 标题：美团预订重庆叠间智能影院酒店，页面仅蓝色普通字体标注15分钟后不可退，平台只同意退一半房款，要求全额退款 投诉内容： 本人于2026年09月18日，在美团平台预订Folded Moon·叠间智能影院酒店(两路口地铁站店)，订单入住时间：2026年09月30日入住，2026年10月02日离店， 下单页面虽有蓝色文字标注“下单15分钟后订...
游戏,"仅退3386元拒退剩余 投诉人系12周岁未成年人(出生:2，上海巨人网络放任12岁未成年充值6800元 014年12月17日)的法定监护人。依据《民法典》第19...孩子12周岁，属限制民事行为能力人，大额游戏充值明显超出其年龄、智力范围，监护人事后明确不予追认。该未成年人今年在监护人不知情、未授权情况下，使用奶奶手机在""上海巨人网络科技有限公司""运营的《超自然行动组》中累计充值6800元。"
物流快递,没法使用电动车进行配送，在顾客取消订单后向平台售后客服工号为5946申请空跑补贴时，平台直接拒绝说没有空跑补贴，请问那骑手花费的精力就这样被白嫖了吗？在到达顾客目的地时因顾客需要运送的东西过于大件。货拉拉无电动车送大件申请补贴遭平台拒绝 2026年9月8日在货拉拉司机端接到跑腿这笔订单订单号为:35870*********82674。难道明明因为配送东西反复无法使用电动车配送...
医疗健康,术后不对称拒绝退回款项赔偿 本人在上海雅尚医疗美容机构做双眼皮修复手术，上海雅尚医疗美容 双眼皮修复宣传不实。术前机构宣传承诺手术可以做到双眼对称，手术签署空白知情同意书。术后双眼形态不对称，和术前沟通预期严重不符。 联系机构沟通，对方不提供二次修复方案，直接要求我走诉讼途径，拒绝协商退款。 我已经留存全套缴费凭证、术前术后照片、聊天记录、病历等证据。同时已经向...
旅游出行,2. 下单短时间行程变动未入住，同程直接扣除全部房费当作违约金 本人于2026年9月11日20:59，在同程出行平台预订漫庭公寓酒店大床房。下单后短时间内行程发生变动，需要取消订单。平台设置21:30之后不可免费取消的规则，下单距离不可取消时限间隔极短，消费者来不及判断行程是否变化。订单我尚未入住，没有产生任何酒店实际服务成本，但申请取消时，平台直接扣除全部订单金额作为违约金...
教育,领航教育夸大宣传考试包过诱导考生消费，事后不同意退钱 本人通过短视频平台广告，添加该机构业务人员微信。该机构进行虚假宣传，宣称拥有内部人脉，可以动用关系对接消防设施操作员鉴定站，存在VIP特殊报考通道，以此诱导我缴纳培训费用共计3400元。我多次向机构提出退费申请，对方推诿扯皮，拒绝... 缴费完成后，不存在宣传所说的内部渠道、特殊对接服务，全部承诺均不能兑现。
房产家装,与5月4日上午发现合同抬头和盖章不一致，随即向他们告知不装修了，要求返还10000，对付比例也有了质疑，天津红杉树大宅整装装饰装修有限公司 我在2026年5月2日下午2:50与红杉树签订装修合同，红杉树工作人员拒绝返还。
本地生活,消费者的时间就可以随便浪费么？没有营业为什么不第一时间通知消费者？店大欺客 昨天在淘宝闪购下单购买了商品 支付成功 商家接单等待了15分钟左右骑手到店直接取消配送了 我没接到任何告知 订单就一直挂在那里直到我主动联系平台客服才了解到商家没有营业 没有营业为什么还要接单？）
母婴食品,正规渠道、支付运费获得，作为给婴幼儿食用的配方奶粉，漠视婴幼儿安全 本人参与飞鹤天猫官方旗舰店育儿补贴活动，属于最高食品安全等级...一直拒不依法补偿，申领飞鹤星飞帆卓睿 2 段婴幼儿奶粉（具体批次5F26QL202AI62），属于合法消费产品。 【事发经过】 本人居家正常规范冲泡奶粉，冲调完成的奶液中清晰发现虫子异物，当场拍照、录制视频固定全部证据。飞鹤星飞帆奶粉冲泡出虫子！
服饰鞋包,买欧莱雅没收到宣传的小卡片店铺不兑现请平台调解 本人于9月12日，这笔订单号：69294*********53214，在抖音店铺【欧莱雅官方旗舰店】下单 商家带货短视频明确商品附赠小卡片，视频全程没有醒目文字标注“仅展示、不发放赠品”。我被该促销宣传引导下单付款。 商家短视频属于商业广告，... 收货后未收到宣传的赠品，联系店铺客服，对方只以一切以交易快照为准，拒绝履行广告承诺。
游戏,退押金 本人在山火租号平台租赁游戏账号，已按时正常归还账号，无开挂、无毁号、无超时等任何违规行为，订单结束后平台无故扣押押金10元。多次联系平台客服，对方拒绝退还押金，也不提供扣押金的相关证据。现要求平台立即退还押金10元。
通讯运营商,中国电信，工作人员诱导消费者办理分期贷款 我于2025年5月，通过朋友圈看见辽宁省沈阳市和平区中海环宇城华为店的店员，发出的办理宽带送手机活动。那时候正好需要办理宽带，就去办理了。办理过程中工作人员没有跟我提到送的手机是在电信翼支付上面的橙分期办理分期贷款。在工作人员的诱导下。稀里糊涂的就办理了，这个套餐，一个月电话费要139块钱。后来发现是被...
物流快递,到货未电联，损失小变大 运单编号：777************ 内件：50个土鸡蛋（生鲜易碎） 9月5日寄出，9月6日到达天津，9月8日物流显示签收。我向派送网点反馈问题，派送网点推诿扯皮，把责任推给配送网点，要求我去找寄件方网点解决。 问题说明：该快件到达天津派送网点后，派送网点未及时联系收件人，导致鸡蛋变质。 提示：企业内部网点之间责任...
房产家装,"浪鲸卫浴马桶带电 购买浪鲸轻智能马桶一台，存在安全隐患，商品型号：SAZY020A-305-2。 购买时，商家商品页面、销售人员**未主动告知该款马桶为两孔两脚插头（Ⅱ 类无接地设计）**。 安装完成通电后，使用万用表测得马桶外壳对地存在约 40V 感应电压，在卫生间潮湿环境下，外壳存在麻手现象，存在用电安全隐患,购买前未提前明确告知。 虽然..."
共享出行,小哈换电套餐未到期不退钱 买的租电套餐，还有24天没用，想退钱没人处理，客服也不管事，我需要时间退钱处理
本地生活,"最后仅退我实付金额的40%，由于不可抗力，身体不适导致行程改变，美团酒店未入住却扣费60% 我于2026年9月18日在美团平台购买了一个酒店，未入住，严重侵害了我的消费者权益，并未提醒我酒店的超期时间,这不合理，我的知情权未得到合理处置。且店家同时间段有多款房型在售卖，说明空房很多，与商家所说专门为我留房，始终无法正常售卖这一说法严重不符。我..."
共享出行,扣调度费，附近没有还车点，就没有还车，哈罗单车 我在吃饭，30分钟就给我锁车，我有月卡一小时内还车免费，为什么给我锁车，我先没法骑车，还有付调度费，你干嘛，消费者
教育,后来又陆续学了几期课程一共交了两万多元，当初他们承诺的学会这个配音的话就可以接单赚钱，然后就交了钱，一个月能赚几千块钱，我是跟张驰学的这个课程。一元配音课入坑梨花教育赚钱承诺落空退钱无门 我是在2022年3月30号通过一元钱的配音课添加到他们。交了那么多钱之后学完了发现并不是那样子的，只赚了一百左右，然后后面找他们退款，他们也置之不理。
汽车,没有暴力行驶，购买至今总里程数仅15563公里，投诉无果盼公平 我与2024年8月份购买的理想l6max，并且行驶路况正常，理想L6MAX仅开5万公里胎磨损严重。昨天本人拨打了理想投诉电话，被告知无法处理，所以投诉...其他人开了4.5万公里，轮胎都没有我磨损的这么严重。但是轮胎已经到达基本需要报废的状态，本台理想为朋友介绍购买，周围也有开理想的朋友，均未出现过这种情况。
共享出行,3笔已经还清，还有一笔，涉嫌欺诈消费者 我在哈喽臻有钱借过4笔款，哈喽臻有钱借贷含隐性条款，借钱时他主页只写了利息，没有写担保费和咨询服务费，这部分加起来利率高到36%，以前也没发现，现在查账单看到有这个担保费和咨询费，当时签合同只看到了借钱利息合同（他这个隐性打包合同），联系他们客服客服态度不好，说他们合法合规，他这属于消费者欺诈行为，协商...
影音娱乐,剪映隐形扣费svip多次还我未退的会员钱 我于2026年6月9号晚上7点16购买剪映会员3元，剪映直接在我支付宝上开通自动续费6月30号继续在我支付宝扣费0.1 然后6月30号自动帮我开通svip服务 7月6号继续扣费16元，8月7日扣费59，9月6日扣费59 除开6月9号扣费的3元 其他都是平台直接通过我支付宝扣费 这些都是在我不知情的情况下，而且还开通最贵的svip 目前剪...
母婴食品,2026-08-08拆开纸尿裤，在换纸尿裤时虫子掉落，虫子尸体上白色物体系纸尿裤残留物质。订单号51188*********96716，帮宝适 本人于淘宝网购平台帮宝适官方旗舰店购买帮宝适婴儿纸尿裤。纸尿裤属于婴幼儿贴身用品，存在严重卫生质量问题隐患。经通过售后人员沟通，店家只同意将一包内其他未用完的18片进行退货退款，本人不同意后商家反馈给...
金融支付,中信消费金融申请贷款无果还拒不退还11430元相关流水资金 我与2026年9月17日申请贷款，不给放款还不给退缴的11430元流水信用流水
影音娱乐,却不给很早预定的我发货，哔哩哔哩平台的定金又不给退，现在商家一直卡着我，不退定金，不补款，不发货，已经...九糜潮玩在b站预定不发却在淘宝卖现货 我于26年7月18日在哔哩哔哩平台预定货品“假面骑士麦斯驱动器豪华版，店家店铺为“九糜潮玩”，商家一直宣称没有到货，至今日已9月18号仍不补款始终不配送，但我在淘宝却发现商家在淘宝有卖现货，而且已经有人收到了。
服饰鞋包,淘宝CHINISM旗舰店标错价反复不发货，我在淘宝平台大促活动“CHINISM旗舰店”店铺购买了男士卫衣，诉求发货+赔偿 2026年9月15日18:20。晚上19:39分卖家联系我因为她们的工作人员失误，导致价钱标错，没法为我发货。但是这笔订单承诺时间是2026年9月17日18:21之前为我发货。于是我要求商家尽快为我发货，商家以上错价格为由，拒绝为我发货。随后我想淘宝平台进行投诉，该店铺只赔...
通讯运营商,申请全额退钱遭拒 我在9月个17号实然发现多了很多增值业务已有六十块话费我在App上投诉举报也没成功我也没用过这些服务我希望全额退款，发现九月多扣六十元中国移动增值话费
本地生活,撤销本次订单判罚，返还被扣罚款项 你好我是骑手， 投诉对象：美团众包 运单号：17896*********49355 订单ID：34023*********01527 商家名称：冠烤荔枝木现烤脆皮烧鸡（花园街店） 投诉内容： 2026年9月17日23点，我接到共3笔订单，事后得知这3份餐品，全部被上一位骑手在22点多取走。商家出餐号已经排到46号，我的25号餐品早就被取走，不清楚前骑手是什...
物流快递,运输过程中造成严重损坏，售后维修报价4000元以上，我这边提供的两个方案一按照保价金额全额赔偿，二京东快递方联...京东快递不按照保价赔偿 我于8月31日下单京东快递寄件空气净化器，京东快递方不定损，不按照保价赔偿4000元，一直联系我这边希望我接受2000元的赔偿，挑战我的底线，现在还自行寄回坏了的空气净化器，没有跟我这边通知，态度恶劣。
家居日用,型号WS5053BC1C，购机金额8000元，西门子净饮机TDS超标加热异常保修期内竟要付费修 本人于2025年购买西门子嵌入式净饮机。我联系西门子官方售后上门检测，维修人员判定故障... 机器25年5.27安装 实际第一次使用时间为26年7.15日，因为第一次使用没法出水所以报修，期间连续报修三次 出现水质异味，加热异常，出水TDS数值异常偏高100+等多项问题，且长时间问题得不到解决。
服饰鞋包,新首饰实际克重0.7克，交出旧金1.15克，周大生 本人在该门店办理黄金以旧换新，地址广州增城金海岸F1周大生专卖店，另补现金442元置换一口价硬金戒指。事后微信聊天记录，店员... 该门店内部规定，必须付款之后才剪开吊牌才能看到克重；交易成交前，不向消费者主动出示吊牌、不告知首饰实际克重，置换单据上也没有填写新首饰克重。
金融支付,投诉招行客服总迟迟不办 办卡时未明确告知息费规则，反映问题400*******平台客服多次，滞纳金，每次都托着一直不给解决办卡时未明确息费规则产生过了期限，导致产生很多逾期利息，违约金，要求退还不合理的费用。
旅游出行,航班凌晨临时取消，改签后再次延误，造成行程全部打乱 本人于2026年购买机票，原定于9月16日13时00分从温州飞往广州，贵司于16日凌晨3点分临时取消该当天出行航班，未提前合理通知，也未妥善保障我的后续出行。因我当天必须出行，只能被迫改签至深圳航空，但改签后航班又发生延误半小时，最终到达16点05分，且机票费用高昂，上述取消及后续延误直接导致我在广州的行程被迫延...
婚恋交友,送对方礼物了今可不全额退、 在桃觅社交软件上对方诱骗充值！
游戏,2024、2025年度的充值...孩子7岁，仅允许填写2026年的充值金额（6000元），在监护人不知情、未许可、未追认的情况下，我已经在网易家长关爱平台提交未成年退款申请，但平台网页表单存在限制，使用苹果设备在《蛋仔派对》游戏内充值，充值时间段：【2024年至2026年】，累计充值总金额12000元。网易游戏蛋仔 本人为未成年人法定监护人。
金融支付,无理由扣钱私自扣款 半夜凌晨扣款 没有扣款的项目 好几次的。
旅游出行,语言侮辱，顺风车主嫌弃老人后排翘腿，滴滴平台 晚上约顺风车送老人回家，弄脏座椅，辱骂老人，致使老人精神受创，血压上升，举报给滴滴平台，平台和稀泥，问车主什么情况，车主全然不说辱骂老人的事，滴滴平台不作为，不查录音。车牌号：鄂ABU1182 白色，比亚迪 E 7
教育,宣传不实，引诱冲动消费 本人于2023年5月通过线上途径报名湖南孟丘网络科技有限公司的韩语培训班（初级至高级）。机构工作人员告知，退课需按合同金额（6980... 报名后，本人仅学习了初级阶段的少量课程，后因个人原因无法正常继续学习，向机构提出退课申请。课程总价5880元，机构工作人员以“分期免息”为由，诱导本人通过“轻松学”平台办理了分期付款。
电商平台,退货不退款 在淘宝买了一双鞋子，退货了不给我退款，我的要求全部退款，结果商家不给我退款，我找客服客服不给我处理，我已经退货了
服饰鞋包,拼多多买的韩束水乳赠品都用过敏了退货遭阻还被频繁打电话骚扰 我于2026年9月12日在拼多多购买韩束白蛮腰水乳里面有赠品水乳和次抛用了两天开始长痘脸痒脸红退货商家不给处理客服不给处理处理四五天了一直没处理完还一直给打电话我明确说了很多遍别给我打电话我要上班接不了电话只能消息昨天打电话给我说处理完了结果突然给我蹦出来一个退货退款我东西都退回去三天了又弄个这个叫处理...
影音娱乐,乱扣款 不知道是什么东西 我于2026年9月18日22:46分被莫名扣款49.9元要求退款
房产家装,现申请介入调解，要求按合同约定退还全部押金，盼协助解决已和平台管家、内部售后人员沟通协商，未能达成一致。贝壳省心租押金总是不退 本人通过贝壳省心租租住房屋，退租后平台无合理理由克扣租房押金。
服饰鞋包,卖家说价格弄错了，不发货 9.16号购买的鞋，不发货，打电话说价格弄错了，弄错了我们买家承担责任吗，我和客服说我留着穿，她说我申请下，然后在和店铺客服说，她说没货，就是不想发货，说没货，要求发货 有电话录音证据
婚恋交友,属于虚假诱导消费，宿迁齐悦网络科技有限公司 本人在9月10晚上10.33在甜丸APP被平台内用户诱导充值刷礼物，充值【203元】后对方未兑现承诺，对方承诺刷礼物后交换私人联系方式、奔现。现要求全额退钱【203元】。
物流快递,跟进处理问题慢拖拉，安能物流，从不主动回访联系处理事情的态度。9月3号下午才把这个快递给我配送过去。8月31号到了之后，安能物流未通知收件人以及发件人私自签，因客户要求延迟配送字样。之后南山科技园网点联系不上，派件电话停机。经多次向相关部门12345以及12328进行反映问题。以及他们网点这种私自签 8月28号，我从北京发了两件高档白酒前往深圳南山科技园。但是配送过去的这个快递员又把快递给我送丢了。经...
金融支付,小花钱包绑度小满自动扣费侵害用户合法权益 度小满平台小花钱包恶意捆绑消费，违规开通“拒就得”权益，每月自动扣费，严重侵害权益。
电商平台,得物平台一直拖欠不给处理退货退款 我与2026年8月31日买的在得物平台LOUIS VUITTON/路易威登一条男士腰带，与2026年9月6日收到，我嫌弃物流太慢多次沟通无果，后来选择线下买腰带，预约上门取件，9月7号退货寄出，平台9月9号收到，说三天内查验完，如今9月12日第三天还没有处理，打电话给客服都是推脱。
房产家装,... 这个排烟管是装在厨房吊顶中的，正常老百姓买房子不可能每个板砖每个缝隙都拆开来检查房子的，现在用过保推辞，是不是太不负责任了？导致家里“裸”炒了半年的菜，26年入住发现做饭时经常油烟漫天，万科，找油烟机师傅来看才发现根本没有装排烟管，精装欺诈 23年12月收房了一套万科精装房，新装修的家具全是油烟，找万科地产，根本不管。
电商平台,...可需要我先垫付运费的事情并没有履行告知义务，确要我来承担后果。又损钱又浪费时间真憋屈 在拼多多购买了电子类产品，产品收到后仅使用四五个月就出现了损坏，拼多多购电子类产品维权遇阻，我最初的诉求是寄回维修，商家在发给我收货地址后就未发送任何东西了，而物流发出后却以不收到付件为理由拒收了快递，并让我付来回运费，之后再垫付运费寄出也就是让我付三趟的运费。
共享出行,我第一时间联系小电客服反馈归还未识别问题，客服告知等候核查，承诺1...当日19:52，我在孟家铺地铁站机柜归还充电宝，但机柜未能自动识别入库。未经核查擅自扣钱1 本人于2026年9月9日在湖北省武汉市洪山区关山街道民族大道武汉东湖新技术开发区12，杭州小电科技有限公司（小电充电宝）已归还充电宝，机柜识别故障:54租借小电充电宝，租借接近1小时，因就近归还点位较远，向客服人员申请24小时内归还并暂停计费。
